user_name,weight_of_waste_grams,number_of_ewaste_devices,ewaste_scrap_image_ref,material_category,price_valuation_inr,price_trend,nearby_recycler_id,reference_id,mode_of_transaction,transaction_id,anonymous_contact_number,estimated_carbon_emission_grams,recycler_name,recycler_location,authorization_status
Amit Thakur,76154.7,0,placeholder://scrap-images/hard-plastics/89d1c0d6.webp,Hard Plastics,1449.79,Stable,RCY-1015,REF-100050,UPI,TXN732901910353,+91 11 5847 5837,98668.6,Green India Waste Management,"Mayapuri Industrial Area, Delhi",Authorized
Rina Rana,25066.0,0,placeholder://scrap-images/pet-bottles/2a9fd61b.webp,PET Bottles,379.96,Stable,RCY-1003,REF-100051,Cash,CASH-7AFA77619F,+91 11 9138 5689,28921.8,Green India Eco Solutions,"Jamshedpur, Jharkhand",Authorized
Harish Agarwal,54832.3,0,placeholder://scrap-images/copper/143b7c8b.webp,Copper,36404.95,Stable,RCY-1043,REF-100052,Cash,CASH-0958FFF26E,+91 11 3240 2591,140395.1,Urban Waste Management,"Ludhiana, Punjab",Authorized
Rahul Rana,4737.7,8,placeholder://scrap-images/e-waste-pcb/b18d1c71.webp,E-Waste PCB,657.6,Rising,RCY-1058,REF-100053,UPI,TXN558476939238,+91 11 3877 4289,17553.8,Green India Enterprises,"Sanathnagar, Hyderabad",Authorized
Meena Das,48011.3,0,placeholder://scrap-images/newspaper/c2f3fb6d.webp,Newspaper,921.38,Falling,RCY-1052,REF-100054,Cash,CASH-B4B2F5544E,+91 11 5835 6549,41109.9,Sunrise Scrap Traders,"Ankleshwar, Gujarat",Authorized
Anita Sharma,2240.2,4,placeholder://scrap-images/lead-acid-battery/a279f0aa.webp,Lead-Acid Battery,225.08,Stable,RCY-1054,REF-100055,Cash,CASH-D4207E061E,+91 11 6992 2479,2946.3,National Scrap Traders,"Okhla Phase 2, New Delhi",Authorized
Amit Bhatt,48523.2,0,placeholder://scrap-images/iron-steel/bd80df8e.webp,Iron / Steel,1541.51,Stable,RCY-1037,REF-100056,UPI,TXN217559584131,+91 11 4830 8724,90352.3,Green India Industries,"Mayapuri Industrial Area, Delhi",Authorized
Sunita Verma,82415.4,0,placeholder://scrap-images/newspaper/3fe06f1b.webp,Newspaper,1417.34,Rising,RCY-1058,REF-100057,UPI,TXN549465060984,+91 11 2911 3290,78978.2,Green India Enterprises,"Sanathnagar, Hyderabad",Authorized
Seema Saxena,89635.5,0,placeholder://scrap-images/iron-steel/a3a29623.webp,Iron / Steel,2692.16,Rising,RCY-1024,REF-100058,UPI,TXN867695941207,+91 11 9850 7866,162555.5,Clean Earth Recyclers,"Ankleshwar, Gujarat",Authorized
Rekha Bansal,13298.4,2,placeholder://scrap-images/small-battery/5dd7609b.webp,Small Battery,700.42,Stable,RCY-1017,REF-100059,UPI,TXN337814615356,+91 11 8264 8285,21699.2,Bharat Recyclers,"Guindy, Chennai",Pending Verification
Anjali Tiwari,9392.2,0,placeholder://scrap-images/newspaper/79fdb488.webp,Newspaper,174.08,Stable,RCY-1022,REF-100060,UPI,TXN307343331995,+91 11 3001 8450,9260.8,Sunrise Waste Management,"Guindy, Chennai",Authorized
Ankit Kapoor,57932.5,0,placeholder://scrap-images/copper/d2ae9e99.webp,Copper,40006.42,Rising,RCY-1015,REF-100061,Cash,CASH-53E88BA805,+91 11 4362 2124,153138.6,Green India Waste Management,"Mayapuri Industrial Area, Delhi",Authorized
Pooja Kumar,52981.3,0,placeholder://scrap-images/copper/a29ce4a9.webp,Copper,37831.84,Rising,RCY-1050,REF-100062,Cash,CASH-66293DFAA6,+91 11 1046 5542,139721.5,Bharat Enterprises,"Mayapuri Industrial Area, Delhi",Authorized
Amit Yadav,71967.0,0,placeholder://scrap-images/iron-steel/9a4f937d.webp,Iron / Steel,2159.21,Falling,RCY-1022,REF-100063,Cash,CASH-ED2B4BB89D,+91 11 4898 6304,120001.3,Sunrise Waste Management,"Guindy, Chennai",Authorized
Ajay Chauhan,9720.1,4,placeholder://scrap-images/lead-acid-battery/b181b755.webp,Lead-Acid Battery,931.24,Stable,RCY-1030,REF-100064,UPI,TXN664195661328,+91 11 2786 8405,11897.4,Bharat Eco Solutions,"Guindy, Chennai",Pending Verification
Nisha Pandey,10949.6,5,placeholder://scrap-images/e-waste-pcb/2a47de21.webp,E-Waste PCB,1631.41,Falling,RCY-1030,REF-100065,Cash,CASH-F7366D5ABD,+91 11 7984 2768,39951.4,Bharat Eco Solutions,"Guindy, Chennai",Pending Verification
Dinesh Malhotra,7077.4,0,placeholder://scrap-images/hard-plastics/2f0f2e00.webp,Hard Plastics,132.05,Stable,RCY-1017,REF-100066,UPI,TXN703809543617,+91 11 6327 7240,8401.4,Bharat Recyclers,"Guindy, Chennai",Pending Verification
Karan Goel,41107.5,0,placeholder://scrap-images/iron-steel/fa44e60c.webp,Iron / Steel,1337.63,Rising,RCY-1054,REF-100067,UPI,TXN945583309498,+91 11 4522 8046,76979.6,National Scrap Traders,"Okhla Phase 2, New Delhi",Authorized
Sneha Sinha,37536.3,0,placeholder://scrap-images/copper/cc02fda2.webp,Copper,26861.85,Rising,RCY-1020,REF-100068,UPI,TXN382029490777,+91 11 7132 3500,98150.2,Greenline Metals,"Ludhiana, Punjab",Pending Verification
Gaurav Singh,6508.4,0,placeholder://scrap-images/hard-plastics/0b42637e.webp,Hard Plastics,137.08,Rising,RCY-1047,REF-100069,UPI,TXN710444197650,+91 11 1982 6400,7778.2,EcoWave Recycling Hub,"Ludhiana, Punjab",Pending Verification
Suresh Chopra,32147.0,0,placeholder://scrap-images/pet-bottles/1f99457f.webp,PET Bottles,494.96,Falling,RCY-1046,REF-100070,UPI,TXN758365355182,+91 11 6119 6761,37965.0,Greenline Scrap Traders,"Dharavi, Mumbai",Authorized
Kiran Mehta,14348.4,0,placeholder://scrap-images/copper/a5e485be.webp,Copper,9729.11,Falling,RCY-1035,REF-100071,UPI,TXN408218044268,+91 11 4705 8030,34795.7,Shakti Enterprises,"Guindy, Chennai",Authorized
Vikram Kumar,9193.6,5,placeholder://scrap-images/e-waste-pcb/c9e19ae6.webp,E-Waste PCB,1275.11,Rising,RCY-1058,REF-100072,UPI,TXN297594719776,+91 11 3347 7566,38704.4,Green India Enterprises,"Sanathnagar, Hyderabad",Authorized
Pooja Yadav,1512.6,4,placeholder://scrap-images/e-waste-pcb/b082531b.webp,E-Waste PCB,222.4,Rising,RCY-1019,REF-100073,Cash,CASH-430F7D4FC1,+91 11 2391 1861,5635.8,Green India Metals,"Narela, New Delhi",Authorized
Swati Singh,10158.4,5,placeholder://scrap-images/e-waste-pcb/df86d4f8.webp,E-Waste PCB,1509.89,Rising,RCY-1026,REF-100074,UPI,TXN665883171878,+91 11 2864 6655,41503.8,EcoCircle Recycling Hub,"Dharavi, Mumbai",Authorized
Divya Mishra,61200.5,0,placeholder://scrap-images/iron-steel/706b21ef.webp,Iron / Steel,1987.6,Stable,RCY-1014,REF-100075,UPI,TXN162703623248,+91 11 1125 4349,105940.0,Sunrise Eco Solutions,"Okhla Phase 2, New Delhi",Authorized
Kiran Thakur,11497.8,5,placeholder://scrap-images/small-battery/bc6547ad.webp,Small Battery,559.08,Rising,RCY-1011,REF-100076,UPI,TXN875381537047,+91 11 4770 9196,18098.7,Sunrise Enterprises,"Narela, New Delhi",Authorized
Aarti Agarwal,6039.5,4,placeholder://scrap-images/lead-acid-battery/ff1dacb5.webp,Lead-Acid Battery,534.82,Rising,RCY-1058,REF-100077,UPI,TXN732704777670,+91 11 8033 7626,7523.7,Green India Enterprises,"Sanathnagar, Hyderabad",Authorized
Rekha Iyer,26411.6,0,placeholder://scrap-images/pet-bottles/dd7c81cc.webp,PET Bottles,390.15,Falling,RCY-1039,REF-100078,UPI,TXN196043425993,+91 11 8155 2734,27146.2,Bharat Metals,"Ankleshwar, Gujarat",Pending Verification
Harish Singh,47394.6,0,placeholder://scrap-images/pet-bottles/217d5e06.webp,PET Bottles,699.06,Stable,RCY-1021,REF-100079,Cash,CASH-B1926105EB,+91 11 2251 9363,50460.7,Bharat Recycling Hub,"Kanpur, Uttar Pradesh",Pending Verification
Kavita Bhatt,81580.1,0,placeholder://scrap-images/copper/deb5f32f.webp,Copper,54137.54,Stable,RCY-1052,REF-100080,UPI,TXN259355332042,+91 11 5193 4232,216960.2,Sunrise Scrap Traders,"Ankleshwar, Gujarat",Authorized
Pooja Das,11439.2,2,placeholder://scrap-images/small-battery/13c3e2d3.webp,Small Battery,542.41,Stable,RCY-1048,REF-100081,UPI,TXN592115068238,+91 11 6295 6179,17138.6,Metro Recycling Hub,"Dharavi, Mumbai",Pending Verification
Rohit Gupta,7113.5,5,placeholder://scrap-images/lead-acid-battery/1c78c665.webp,Lead-Acid Battery,707.82,Stable,RCY-1004,REF-100082,UPI,TXN140595660945,+91 11 1932 7041,8283.4,New Delhi Enterprises,"Okhla Phase 2, New Delhi",Authorized
Dinesh Bose,9282.9,7,placeholder://scrap-images/lead-acid-battery/e2b9a7e5.webp,Lead-Acid Battery,876.61,Stable,RCY-1057,REF-100083,UPI,TXN992962570107,+91 11 4084 6267,11789.6,Greenline Eco Solutions,"Jamshedpur, Jharkhand",Authorized
Aarti Das,14372.2,8,placeholder://scrap-images/small-battery/0a14a096.webp,Small Battery,673.02,Falling,RCY-1045,REF-100084,UPI,TXN291753655750,+91 11 1641 5059,20883.3,Metro Eco Solutions,"Okhla Phase 2, New Delhi",Authorized
Vikram Patel,47404.1,0,placeholder://scrap-images/hard-plastics/643f7b83.webp,Hard Plastics,964.74,Stable,RCY-1024,REF-100085,UPI,TXN844482618035,+91 11 1857 6482,66776.4,Clean Earth Recyclers,"Ankleshwar, Gujarat",Authorized
Vijay Joshi,8435.8,7,placeholder://scrap-images/lead-acid-battery/e53fc170.webp,Lead-Acid Battery,773.72,Stable,RCY-1058,REF-100086,UPI,TXN465718068686,+91 11 2335 3317,10439.9,Green India Enterprises,"Sanathnagar, Hyderabad",Authorized
Anjali Agarwal,7908.3,3,placeholder://scrap-images/small-battery/9ecd8d56.webp,Small Battery,386.9,Rising,RCY-1041,REF-100087,Cash,CASH-8B295466C9,+91 11 3093 9624,12854.0,Sunrise Industries,"Kanpur, Uttar Pradesh",Authorized
Sanjay Kumar,46009.7,0,placeholder://scrap-images/pet-bottles/94aa1b04.webp,PET Bottles,636.95,Stable,RCY-1021,REF-100088,Cash,CASH-5D34DE7A2F,+91 11 8967 4145,55177.5,Bharat Recycling Hub,"Kanpur, Uttar Pradesh",Pending Verification
Pooja Yadav,1295.9,2,placeholder://scrap-images/small-battery/576c87e4.webp,Small Battery,64.87,Stable,RCY-1033,REF-100089,UPI,TXN781896098873,+91 11 3147 7172,2036.6,Urban Recycling Hub,"Okhla Phase 2, New Delhi",Pending Verification
Sanjay Kapoor,12495.5,3,placeholder://scrap-images/small-battery/9a055fc1.webp,Small Battery,646.89,Rising,RCY-1046,REF-100090,UPI,TXN771922717098,+91 11 5668 8355,18234.6,Greenline Scrap Traders,"Dharavi, Mumbai",Authorized
Ajay Malhotra,28197.4,0,placeholder://scrap-images/copper/031eb8fb.webp,Copper,20121.05,Rising,RCY-1023,REF-100091,UPI,TXN608698492376,+91 11 5616 7256,75218.2,Green India Recyclers,"Ankleshwar, Gujarat",Pending Verification
Meena Joshi,86981.0,0,placeholder://scrap-images/pet-bottles/c35a8625.webp,PET Bottles,1370.87,Falling,RCY-1016,REF-100092,UPI,TXN707184732581,+91 11 2680 9452,88759.6,Greenline Enterprises,"Narela, New Delhi",Authorized
Vijay Sinha,11482.3,5,placeholder://scrap-images/lead-acid-battery/9c3d1ae5.webp,Lead-Acid Battery,1081.97,Stable,RCY-1005,REF-100093,Cash,CASH-279B726DB7,+91 11 4637 8391,14691.0,Shakti Industries,"Narela, New Delhi",Authorized
Rahul Verma,6311.2,7,placeholder://scrap-images/e-waste-pcb/9684fa26.webp,E-Waste PCB,946.98,Rising,RCY-1023,REF-100094,UPI,TXN816034202609,+91 11 6493 3392,27741.6,Green India Recyclers,"Ankleshwar, Gujarat",Pending Verification
Pooja Kapoor,82607.0,0,placeholder://scrap-images/iron-steel/8a1753f6.webp,Iron / Steel,2631.77,Falling,RCY-1030,REF-100095,UPI,TXN117520141303,+91 11 5193 4533,156390.2,Bharat Eco Solutions,"Guindy, Chennai",Pending Verification
Nisha Bhatt,10451.2,0,placeholder://scrap-images/pet-bottles/e82c8131.webp,PET Bottles,151.45,Stable,RCY-1026,REF-100096,UPI,TXN605186124648,+91 11 2029 2816,10456.5,EcoCircle Recycling Hub,"Dharavi, Mumbai",Authorized
Shalini Gupta,9534.5,4,placeholder://scrap-images/e-waste-pcb/d6f53295.webp,E-Waste PCB,1480.18,Rising,RCY-1022,REF-100097,UPI,TXN303652607135,+91 11 2402 9576,34336.1,Sunrise Waste Management,"Guindy, Chennai",Authorized
Vinod Tiwari,5948.2,8,placeholder://scrap-images/e-waste-pcb/47ffb27e.webp,E-Waste PCB,827.07,Rising,RCY-1047,REF-100098,UPI,TXN176401111736,+91 11 6649 4950,23189.9,EcoWave Recycling Hub,"Ludhiana, Punjab",Pending Verification
Harish Yadav,11606.8,6,placeholder://scrap-images/lead-acid-battery/e56f33e5.webp,Lead-Acid Battery,1037.97,Rising,RCY-1041,REF-100099,UPI,TXN854965668757,+91 11 8612 8840,13478.4,Sunrise Industries,"Kanpur, Uttar Pradesh",Authorized
Mohit Bose,1087.0,8,placeholder://scrap-images/small-battery/4852173f.webp,Small Battery,50.32,Rising,RCY-1056,REF-100100,UPI,TXN443311214228,+91 11 9444 7524,1725.4,New Delhi Scrap Traders,"Guindy, Chennai",Authorized
Meena Rana,8797.5,1,placeholder://scrap-images/lead-acid-battery/caf6fe7a.webp,Lead-Acid Battery,803.85,Stable,RCY-1003,REF-100101,Cash,CASH-F478314EB9,+91 11 6438 5476,10260.5,Green India Eco Solutions,"Jamshedpur, Jharkhand",Authorized
Shalini Sinha,39607.1,0,placeholder://scrap-images/newspaper/856ee718.webp,Newspaper,701.52,Stable,RCY-1021,REF-100102,Cash,CASH-6AF21CCA72,+91 11 9129 9151,38900.8,Bharat Recycling Hub,"Kanpur, Uttar Pradesh",Pending Verification
Ashok Tiwari,72202.8,0,placeholder://scrap-images/iron-steel/f4a0a351.webp,Iron / Steel,2394.44,Rising,RCY-1052,REF-100103,UPI,TXN453449035452,+91 11 2680 2311,132628.1,Sunrise Scrap Traders,"Ankleshwar, Gujarat",Authorized
